"Title","Description","Tags","Linked"
"Surplus Curricular Materials and Donate, Discard, Resell Process","https://docs.google.com/document/d/19_ZFK3cVhl7JCsz0nc7xjBxK-TgpsKiqNVoBiizal-g","['Supplies', 'Inventory']","TRUE"
"Canvas","https://docs.google.com/document/d/1k2bA5NMoHqoawer4rtiVkHJveDAJ9PzMZRCY2GwNmHU","['Tech','Software','Curriculum']","TRUE"
"Artificial Intelligence (AI) Implementation & Management","https://docs.google.com/document/d/1JdL90uq3FLSZw35aytyzmJFpeM1Z5aHlttKkGBK79Oo","['Tech', 'Ai', 'Software']","TRUE"
"Program Development and Budget Implications","https://docs.google.com/document/d/1yRSsjWGAYUptCqh1P4m1EdFE9QF8tspEhMVZ5xwwVRs","['Finance', 'Program Development', 'Financial']","TRUE"
"Securly Protocols","https://docs.google.com/document/d/1excI-DJEqNT1sCuKWxOYC9T1Cnw1lc-RgGqqehCl-Nc","['Technology', 'Safety', 'Monitoring']","TRUE"
"Professional Learning Request Process","https://docs.google.com/document/d/18x_h4g32JZgGNFnb4QO67lAbXaQqVbjf1mRjflp9YmY","['Finance', 'Requests']","TRUE"
"Field Trip Processes","https://docs.google.com/document/d/19ng6TFGqaZlgw021ZafOkKMrgI7NUj_zaSH2NpuF1xE","['Trips', 'Travel','Expectations','Transportation','Students','Take','Kids']","TRUE"
"Student Travel Opportunities","https://docs.google.com/document/d/1af0T0JQdEgR47pTMEWdmlflaAVB2xEbX_JCF3WaiS8w","['Trips','Travel','Students','Take','Kids']","TRUE"
"Movie Access and Usage Instructions","https://docs.google.com/document/d/1SiQBAlEswzRtXWkrBlrvhR-phSpzksxKdH8sbIKzMuM","['Curriculum','Entertainment','Film','Movie','Films','Movies']","TRUE"
"Professional Learning Travel","https://docs.google.com/document/d/1MGnrtxNkCaevn3ahnGGZc1jNzJpmWKqznQWPWZefbQk","['Trips','Travel','Curriculum','Work','Take']","TRUE"
"Volunteer Drivers","https://docs.google.com/document/d/1l3jL05os9xm2yJ6Bg4bm3238YViVYmPu7lr_3lEAYRo","['Volunteers','Volunteering','Safety','Transportation','Trips','Take']","TRUE"
"Digital Curriculum Access Issues – Teacher SOP","https://docs.google.com/document/d/1aHzzTInuexAifKFw_5Y6rVHFNWV7kgCoexDjugm3Isc","['Curriculum','Technology']","TRUE"
"CTE Purchases","https://docs.google.com/document/d/1sa_Hi6y2KM-VPyOeYyDdpKs-skmdxSyX-sbxcuWH6QQ","['Purchases','CTE']","TRUE"
"Program Evaluation for Secondary Career and Technical Education (CTE) Programs","https://docs.google.com/document/d/1H0V0fsOksGIed_fFt7W62itxDTz1452tsGsETYbBlEY","['Education','Technical','CTE']","TRUE"
"Curricular Acceleration Process","https://docs.google.com/document/d/1bKkvBKeJXrC15bDzz6BZtDP8plcB15tSdPaDtIIXQvE","['Curriculum']","TRUE"
"Elementary Curriculum Writing","https://docs.google.com/document/d/1_ND9RMbnQ9Gy5_L3fJalX2nbz4_PfN48PZDhIoRUG6A","['Elementary','Curriculum']","TRUE"
"Elementary Program Adoption","https://docs.google.com/document/d/1zRy2TqZ4CyFE2KF-bmpWhjbgd68mw52zI0L8kdvK-_s","['Elementary','Curriculum']","TRUE"
"Elementary Textbook Process","https://docs.google.com/document/d/1aLqqpYANNb2BnvHSpRSOA3PxY0hZ2vl8_S7VowrNGNY","['Elementary','Supplies', 'Inventory']","TRUE"
"End of Year Curricular Materials Inventory and Packing Process
","https://docs.google.com/document/d/1xS8QEWavresSBsNHACAO7qVdRfmA9jqNxU1aIrpEAGE","['EoY','Supplies', 'Inventory']","TRUE"
"End-of-Year Textbook and Curriculum Kit Sorting & Storage","https://docs.google.com/document/d/1dKQLumuiJOXDN3di4pXYTCqAmpdPlmv3f3qwep__PLg","['EoY','Supplies', 'Inventory','Curriculum']","TRUE"
"Instructional Software","https://docs.google.com/document/d/1kpHNUSHE98T0uV20RrT31rNu5px_yD1sGnAEFRezXOI","['Education','Software','Technology']","TRUE"
"Online Textbook Workflow & Adoption","https://docs.google.com/document/d/14l17zYVakKd-_r4EEkoMUDxji-cazPnuO6m4n6IlK_k","['Technology', 'Online', 'Textbooks']","TRUE"
"PEGS Curriculum Purchases","https://docs.google.com/document/d/1XPOAMzE1krMefQYq_dIHRN1k5WCo7TDFUe8dV-si4XY","['PEGS','Purchases','Curriculum']","TRUE"
"Project Lead the Way (PLTW) - August Class Sync","https://docs.google.com/document/d/1zvkksqfUbFpuV478-LRY7_VhgV0dAzPBLpQL-GNvVR0","['PLTW','Stem']","TRUE"
"Title I Annual Requirements","https://docs.google.com/document/d/1MeyvqXu2jmBxnyTinjYCBBsYqB5CNXkz8kLANvqYHRM","['Requirements']","TRUE"
